_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP
63d7aced1e67540007c9aa4f,TATAMOTORS,EQ,N,483.6,471.85,472.7,482.4,482.8,470.4,15541446,7447984399.9,536.7,179.0,161519,INE155A01022,2021-12-31,2021-12-30T18:30:00.000Z,2023-01-30T11:41:33.252Z,2023-01-30T11:41:33.252Z,0,,479.23,31-Dec-2021
63d7acde4a097d0008718d97,TATAMOTORS,EQ,N,476.4,468.6,472.55,470.4,472.1,476.0,11923961,5620985674.8,536.7,179.0,130618,INE155A01022,2021-12-30,2021-12-29T18:30:00.000Z,2023-01-30T11:41:18.263Z,2023-01-30T11:41:18.263Z,0,,471.4,30-Dec-2021
63d7accfec6af300077bcb0f,TATAMOTORS,EQ,N,481.6,474.25,478.75,476.0,474.75,480.2,10263884,4905410563.35,536.7,179.0,121625,INE155A01022,2021-12-29,2021-12-28T18:30:00.000Z,2023-01-30T11:41:03.206Z,2023-01-30T11:41:03.206Z,0,,477.93,29-Dec-2021
63d7acbfec06e30007fc248d,TATAMOTORS,EQ,N,482.8,472.65,475.2,480.2,480.35,471.15,22860916,10941670530.25,536.7,179.0,151052,INE155A01022,2021-12-28,2021-12-27T18:30:00.000Z,2023-01-30T11:40:47.964Z,2023-01-30T11:40:47.964Z,0,,478.62,28-Dec-2021
63d7acb0efeae70008bb6404,TATAMOTORS,EQ,N,472.45,460.1,465.7,471.15,472.45,467.6,12557565,5874555564.1,536.7,179.0,130412,INE155A01022,2021-12-27,2021-12-26T18:30:00.000Z,2023-01-30T11:40:32.874Z,2023-01-30T11:40:32.874Z,0,,467.81,27-Dec-2021
63d7aca1ec6af300077bc17f,TATAMOTORS,EQ,N,474.9,460.0,474.9,467.6,468.3,472.35,15487368,7214911387.35,536.7,156.7,156279,INE155A01022,2021-12-24,2021-12-23T18:30:00.000Z,2023-01-30T11:40:17.807Z,2023-01-30T11:40:17.807Z,0,,465.86,24-Dec-2021
63d7ac92ec06e30007fc1af9,TATAMOTORS,EQ,N,478.0,470.95,476.0,472.35,472.25,470.5,12116814,5738409519.1,536.7,156.7,127167,INE155A01022,2021-12-23,2021-12-22T18:30:00.000Z,2023-01-30T11:40:02.711Z,2023-01-30T11:40:02.711Z,0,,473.59,23-Dec-2021
63d7ac83d0920400073c63da,TATAMOTORS,EQ,N,472.15,458.15,458.15,470.5,470.5,453.6,22730750,10621673762.95,536.7,156.7,245905,INE155A01022,2021-12-22,2021-12-21T18:30:00.000Z,2023-01-30T11:39:47.618Z,2023-01-30T11:39:47.618Z,0,,467.28,22-Dec-2021
63d7ac74ad649f00071c1a1c,TATAMOTORS,EQ,N,460.9,449.85,452.1,453.6,453.5,447.05,18838054,8582211859.0,536.7,156.7,207165,INE155A01022,2021-12-21,2021-12-20T18:30:00.000Z,2023-01-30T11:39:32.471Z,2023-01-30T11:39:32.471Z,0,,455.58,21-Dec-2021
63d7ac6591e6ce00070b1dcd,TATAMOTORS,EQ,N,460.0,440.0,459.9,447.05,445.55,470.2,33007516,14838879284.0,536.7,156.7,465264,INE155A01022,2021-12-20,2021-12-19T18:30:00.000Z,2023-01-30T11:39:17.221Z,2023-01-30T11:39:17.221Z,0,,449.56,20-Dec-2021
