_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,symChange,CA
641e9447ff5c30000704dec3,HDFCLIFE,EQ,N,646.0,620.75,637.9,626.05,622.5,636.15,2217822,1406856142.0,646.4,344.4,44539,INE795G01014,2019-12-31,2019-12-30T18:30:00.000Z,2023-03-25T06:27:19.029Z,2023-03-25T06:27:19.029Z,0,,634.34,31-Dec-2019,,
641e94b617bd4600074a9e5e,HDFCLIFE,EQ,N,638.75,629.0,632.7,636.15,636.95,631.4,1799682,1139002088.4,646.4,344.4,37683,INE795G01014,2019-12-30,2019-12-29T18:30:00.000Z,2023-03-25T06:29:10.100Z,2023-03-25T06:29:10.100Z,0,,632.89,30-Dec-2019,,
641e94135510ab0007ecb6b1,HDFCLIFE,EQ,N,639.0,628.55,639.0,631.4,630.05,635.6,2494965,1576282259.9,646.4,344.4,72563,INE795G01014,2019-12-27,2019-12-26T18:30:00.000Z,2023-03-25T06:26:27.990Z,2023-03-25T06:26:27.990Z,0,,631.79,27-Dec-2019,,
641e94cbc151a8000699e10e,HDFCLIFE,EQ,N,639.0,623.1,627.9,635.6,636.6,625.3,3006668,1897949284.95,646.4,344.4,58982,INE795G01014,2019-12-26,2019-12-25T18:30:00.000Z,2023-03-25T06:29:31.725Z,2023-03-25T06:29:31.725Z,0,,631.25,26-Dec-2019,,
641e9465a077ee000755f476,HDFCLIFE,EQ,N,627.6,613.4,618.1,625.3,624.5,616.15,2938173,1826017816.35,646.4,344.4,63620,INE795G01014,2019-12-24,2019-12-23T18:30:00.000Z,2023-03-25T06:27:49.371Z,2023-03-25T06:27:49.371Z,0,,621.48,24-Dec-2019,,
641e947055d8040007bfd393,HDFCLIFE,EQ,N,621.0,609.0,615.1,616.15,616.0,612.7,2325450,1434826405.0,646.4,344.4,51424,INE795G01014,2019-12-23,2019-12-22T18:30:00.000Z,2023-03-25T06:28:00.582Z,2023-03-25T06:28:00.582Z,0,,617.01,23-Dec-2019,,
641e94974708d50007244229,HDFCLIFE,EQ,N,616.0,603.0,606.0,612.7,616.0,605.25,3239394,1974946784.2,646.4,344.4,86943,INE795G01014,2019-12-20,2019-12-19T18:30:00.000Z,2023-03-25T06:28:39.594Z,2023-03-25T06:28:39.594Z,0,,609.67,20-Dec-2019,,
641e94292405c5000796dc87,HDFCLIFE,EQ,N,609.25,598.5,602.0,605.25,604.0,601.5,2743666,1660014086.45,646.4,344.4,56235,INE795G01014,2019-12-19,2019-12-18T18:30:00.000Z,2023-03-25T06:26:49.713Z,2023-03-25T06:26:49.713Z,0,,605.04,19-Dec-2019,,
641e948d4334450007b4e508,HDFCLIFE,EQ,N,604.8,588.2,599.0,601.5,601.55,595.6,3092926,1849684399.6,646.4,344.4,66597,INE795G01014,2019-12-18,2019-12-17T18:30:00.000Z,2023-03-25T06:28:29.541Z,2023-03-25T06:28:29.541Z,0,,598.04,18-Dec-2019,,
641e94d4a077ee00075606fd,HDFCLIFE,EQ,N,600.0,586.2,595.15,595.6,599.05,592.1,1636039,971374478.65,646.4,344.4,38888,INE795G01014,2019-12-17,2019-12-16T18:30:00.000Z,2023-03-25T06:29:40.940Z,2023-03-25T06:29:40.940Z,0,,593.74,17-Dec-2019,,
641e947925e3750007864442,HDFCLIFE,EQ,N,594.9,586.6,588.5,592.1,592.6,588.9,1408707,832910236.95,646.4,344.4,45452,INE795G01014,2019-12-16,2019-12-15T18:30:00.000Z,2023-03-25T06:28:09.269Z,2023-03-25T06:28:09.269Z,0,,591.26,16-Dec-2019,,
641e94846e7d520007c6920d,HDFCLIFE,EQ,N,595.1,585.7,585.7,588.9,588.65,582.9,2095278,1235357426.85,646.4,344.4,47724,INE795G01014,2019-12-13,2019-12-12T18:30:00.000Z,2023-03-25T06:28:20.321Z,2023-03-25T06:28:20.321Z,0,,589.59,13-Dec-2019,,
641e941f4334450007b4e24b,HDFCLIFE,EQ,N,585.65,571.05,576.75,582.9,584.0,572.5,2941825,1701807181.3,646.4,344.4,59947,INE795G01014,2019-12-12,2019-12-11T18:30:00.000Z,2023-03-25T06:26:39.216Z,2023-03-25T06:26:39.216Z,0,,578.49,12-Dec-2019,,
641e9434adde0b0007cf228e,HDFCLIFE,EQ,N,575.0,565.5,573.4,572.5,570.95,570.5,2289830,1305917402.4,646.4,344.4,42604,INE795G01014,2019-12-11,2019-12-10T18:30:00.000Z,2023-03-25T06:27:00.062Z,2023-03-25T06:27:00.062Z,0,,570.31,11-Dec-2019,,
641e943ca077ee000755e9e4,HDFCLIFE,EQ,N,586.5,569.05,577.15,570.5,571.0,572.5,4061646,2345821267.35,646.4,344.4,75433,INE795G01014,2019-12-10,2019-12-09T18:30:00.000Z,2023-03-25T06:27:08.449Z,2023-03-25T06:27:08.449Z,0,,577.55,10-Dec-2019,,
641e945b3dfde30007cbac4c,HDFCLIFE,EQ,N,576.75,570.1,576.7,572.5,573.4,575.0,1591039,910981879.1,646.4,344.4,44891,INE795G01014,2019-12-09,2019-12-08T18:30:00.000Z,2023-03-25T06:27:39.161Z,2023-03-25T06:27:39.161Z,0,,572.57,09-Dec-2019,,
641e94c02c03d7000701bd44,HDFCLIFE,EQ,N,579.2,571.25,577.75,575.0,576.55,575.9,2127676,1223421435.45,646.4,344.4,52514,INE795G01014,2019-12-06,2019-12-05T18:30:00.000Z,2023-03-25T06:29:20.951Z,2023-03-25T06:29:20.951Z,0,,575.0,06-Dec-2019,,
641e945028313b0007cbd035,HDFCLIFE,EQ,N,585.7,575.0,585.45,575.9,575.3,583.65,1929160,1113300527.85,646.4,344.4,71598,INE795G01014,2019-12-05,2019-12-04T18:30:00.000Z,2023-03-25T06:27:28.722Z,2023-03-25T06:27:28.722Z,0,,577.09,05-Dec-2019,,
641e94df1f65df0007b34fcf,HDFCLIFE,EQ,N,588.0,577.1,584.9,583.65,582.2,584.75,2198714,1281626745.2,646.4,344.4,89572,INE795G01014,2019-12-04,2019-12-03T18:30:00.000Z,2023-03-25T06:29:51.098Z,2023-03-25T06:29:51.098Z,0,,582.9,04-Dec-2019,,
641e94a24334450007b4f2d2,HDFCLIFE,EQ,N,586.45,571.5,572.6,584.75,583.4,569.4,4622846,2684744465.85,646.4,344.4,90641,INE795G01014,2019-12-03,2019-12-02T18:30:00.000Z,2023-03-25T06:28:50.776Z,2023-03-25T06:28:50.776Z,0,,580.76,03-Dec-2019,,
641e94aba077ee000755fb26,HDFCLIFE,EQ,N,578.85,566.0,570.0,569.4,570.6,571.5,2550584,1456582980.4,646.4,344.4,63061,INE795G01014,2019-12-02,2019-12-01T18:30:00.000Z,2023-03-25T06:28:59.795Z,2023-03-25T06:28:59.795Z,0,,571.08,02-Dec-2019,,
641e939c17bd4600074a9b49,HDFCLIFE,EQ,N,583.0,570.2,577.5,571.5,572.5,576.2,2142174,1233337888.9,646.4,344.4,73362,INE795G01014,2019-11-29,2019-11-28T18:30:00.000Z,2023-03-25T06:24:28.115Z,2023-03-25T06:24:28.115Z,0,,575.74,29-Nov-2019,,
641e940a31da23000790a757,HDFCLIFE,EQ,N,588.65,575.0,588.0,576.2,576.75,584.95,2761394,1599654300.3,646.4,344.4,109947,INE795G01014,2019-11-28,2019-11-27T18:30:00.000Z,2023-03-25T06:26:18.531Z,2023-03-25T06:26:18.531Z,0,,579.29,28-Nov-2019,,
641e93ec353f0e0007d15483,HDFCLIFE,EQ,N,599.4,582.75,598.1,584.95,585.05,597.6,2154255,1267914771.95,646.4,344.4,47515,INE795G01014,2019-11-27,2019-11-26T18:30:00.000Z,2023-03-25T06:25:48.832Z,2023-03-25T06:25:48.832Z,0,,588.56,27-Nov-2019,,
641e93e14334450007b4d3e7,HDFCLIFE,EQ,N,607.75,592.0,600.0,597.6,597.0,597.8,5918113,3547683426.4,646.4,344.4,76755,INE795G01014,2019-11-26,2019-11-25T18:30:00.000Z,2023-03-25T06:25:37.489Z,2023-03-25T06:25:37.489Z,0,,599.46,26-Nov-2019,,
641e9368486b700006333932,HDFCLIFE,EQ,N,599.85,585.0,585.85,597.8,598.0,586.4,3802000,2267330000.8,646.4,344.4,85416,INE795G01014,2019-11-25,2019-11-24T18:30:00.000Z,2023-03-25T06:23:36.449Z,2023-03-25T06:23:36.449Z,0,,596.35,25-Nov-2019,,
641e93af713bb70007c87660,HDFCLIFE,EQ,N,593.9,581.25,591.8,586.4,585.75,589.25,2275245,1335587624.35,646.4,344.4,68411,INE795G01014,2019-11-22,2019-11-21T18:30:00.000Z,2023-03-25T06:24:47.122Z,2023-03-25T06:24:47.122Z,0,,587.01,22-Nov-2019,,
641e934ad4c2be000759c96f,HDFCLIFE,EQ,N,592.35,573.0,576.4,589.25,589.55,574.7,3752775,2189315518.15,646.4,344.4,60213,INE795G01014,2019-11-21,2019-11-20T18:30:00.000Z,2023-03-25T06:23:06.654Z,2023-03-25T06:23:06.654Z,0,,583.39,21-Nov-2019,,
641e94015510ab0007ecb431,HDFCLIFE,EQ,N,579.5,568.5,572.0,574.7,574.55,570.7,3822519,2190995565.4,646.4,344.4,58442,INE795G01014,2019-11-20,2019-11-19T18:30:00.000Z,2023-03-25T06:26:09.220Z,2023-03-25T06:26:09.220Z,0,,573.18,20-Nov-2019,,
641e9372d4c2be000759cf32,HDFCLIFE,EQ,N,577.5,565.6,571.0,570.7,570.1,570.45,3791275,2162068232.15,646.4,344.4,74204,INE795G01014,2019-11-19,2019-11-18T18:30:00.000Z,2023-03-25T06:23:46.522Z,2023-03-25T06:23:46.522Z,0,,570.27,19-Nov-2019,,
641e93f70125d8000745f18b,HDFCLIFE,EQ,N,574.95,567.5,574.95,570.45,570.3,577.5,3112232,1776961396.8,646.4,344.4,75267,INE795G01014,2019-11-18,2019-11-17T18:30:00.000Z,2023-03-25T06:25:59.060Z,2023-03-25T06:25:59.060Z,0,,570.96,18-Nov-2019,,
641e937d31da230007909885,HDFCLIFE,EQ,N,588.35,576.1,588.35,577.5,578.45,586.35,1959586,1139754815.1,646.4,344.4,67797,INE795G01014,2019-11-15,2019-11-14T18:30:00.000Z,2023-03-25T06:23:57.680Z,2023-03-25T06:23:57.680Z,0,,581.63,15-Nov-2019,,
641e93a603c7b1000775d422,HDFCLIFE,EQ,N,594.9,581.5,592.5,586.35,585.25,589.15,2663642,1565678041.2,646.4,344.4,50581,INE795G01014,2019-11-14,2019-11-13T18:30:00.000Z,2023-03-25T06:24:38.413Z,2023-03-25T06:24:38.413Z,0,,587.8,14-Nov-2019,,
641e935325e3750007863b89,HDFCLIFE,EQ,N,593.0,572.0,572.0,589.15,591.0,571.0,6532837,3832201939.25,646.4,344.4,135347,INE795G01014,2019-11-13,2019-11-12T18:30:00.000Z,2023-03-25T06:23:15.696Z,2023-03-25T06:23:15.696Z,0,,586.61,13-Nov-2019,,
641e93c44334450007b4ce73,HDFCLIFE,EQ,N,584.0,565.0,569.95,571.0,570.55,567.9,3419720,1966689524.4,646.4,344.4,87578,INE795G01014,2019-11-11,2019-11-10T18:30:00.000Z,2023-03-25T06:25:08.012Z,2023-03-25T06:25:08.012Z,0,,575.1,11-Nov-2019,,
641e93864708d50007243965,HDFCLIFE,EQ,N,585.2,566.5,580.0,567.9,568.0,580.15,3630548,2086871301.3,646.4,344.4,128849,INE795G01014,2019-11-08,2019-11-07T18:30:00.000Z,2023-03-25T06:24:06.292Z,2023-03-25T06:24:06.292Z,0,,574.81,08-Nov-2019,,
641e93d931da23000790a16e,HDFCLIFE,EQ,N,588.75,576.15,587.9,580.15,579.75,584.95,3217588,1869869469.0,646.4,344.4,78973,INE795G01014,2019-11-07,2019-11-06T18:30:00.000Z,2023-03-25T06:25:29.045Z,2023-03-25T06:25:29.045Z,0,,581.14,07-Nov-2019,,
641e93900125d8000745da07,HDFCLIFE,EQ,N,590.9,580.1,584.0,584.95,584.0,583.65,3840924,2250916438.7,646.4,344.4,104425,INE795G01014,2019-11-06,2019-11-05T18:30:00.000Z,2023-03-25T06:24:16.681Z,2023-03-25T06:24:16.681Z,0,,586.04,06-Nov-2019,,
641e93b9adde0b0007cf1182,HDFCLIFE,EQ,N,602.0,580.15,596.0,583.65,582.9,593.3,6170402,3633222764.2,646.4,344.4,197045,INE795G01014,2019-11-05,2019-11-04T18:30:00.000Z,2023-03-25T06:24:57.138Z,2023-03-25T06:24:57.138Z,0,,588.81,05-Nov-2019,,
641e93cd0125d8000745e215,HDFCLIFE,EQ,N,615.7,588.4,612.5,593.3,596.0,612.7,12053809,7181139110.85,646.4,344.4,250887,INE795G01014,2019-11-04,2019-11-03T18:30:00.000Z,2023-03-25T06:25:17.192Z,2023-03-25T06:25:17.192Z,0,,595.76,04-Nov-2019,,
641e935d03c7b1000775c32d,HDFCLIFE,EQ,N,636.0,608.1,626.0,612.7,609.6,626.2,4002384,2487848777.25,646.4,344.4,80696,INE795G01014,2019-11-01,2019-10-31T18:30:00.000Z,2023-03-25T06:23:25.935Z,2023-03-25T06:23:25.935Z,0,,621.59,01-Nov-2019,,
5dc924469606c20009de3cdc,HDFCLIFE,EQ,N,646.4,622.0,636.9,626.2,625.7,632.45,4487728,2847596584.9,646.4,344.4,87502,INE795G01014,2019-10-31,2019-10-30T18:30:00.000Z,2019-11-11T09:05:10.816Z,2019-11-11T09:05:10.816Z,0,,634.53,31-Oct-2019,,
5dc924459606c20009de3a18,HDFCLIFE,EQ,N,643.65,581.1,581.2,632.45,635.0,610.75,27156751,16799512329.0,643.65,344.4,309362,INE795G01014,2019-10-30,2019-10-29T18:30:00.000Z,2019-11-11T09:05:10.428Z,2019-11-11T09:05:10.428Z,0,,618.61,30-Oct-2019,,
5dc924459606c20009de3b2a,HDFCLIFE,EQ,N,621.0,609.1,620.85,610.75,609.45,619.65,2288088,1403242563.25,625.9,344.4,64009,INE795G01014,2019-10-29,2019-10-28T18:30:00.000Z,2019-11-11T09:05:10.717Z,2019-11-11T09:05:10.717Z,0,,613.28,29-Oct-2019,,
5dc924439606c20009de3349,HDFCLIFE,EQ,N,622.0,612.35,614.9,619.65,621.95,610.5,890503,550739255.25,625.9,344.4,21459,INE795G01014,2019-10-27,2019-10-26T18:30:00.000Z,2019-11-11T09:05:07.704Z,2019-11-11T09:05:07.704Z,0,,618.46,27-Oct-2019,,
5dc924469606c20009de3bc1,HDFCLIFE,EQ,N,619.8,608.1,617.4,610.5,610.4,615.35,1982250,1214425604.45,625.9,344.4,31056,INE795G01014,2019-10-25,2019-10-24T18:30:00.000Z,2019-11-11T09:05:10.816Z,2019-11-11T09:05:10.816Z,0,,612.65,25-Oct-2019,,
5dc924459606c20009de3af3,HDFCLIFE,EQ,N,618.9,607.6,609.9,615.35,615.4,607.85,2865137,1757018037.35,625.9,344.4,68135,INE795G01014,2019-10-24,2019-10-23T18:30:00.000Z,2019-11-11T09:05:10.331Z,2019-11-11T09:05:10.331Z,0,,613.24,24-Oct-2019,,
5dc924459606c20009de3b9d,HDFCLIFE,EQ,N,625.9,601.0,614.8,607.85,607.0,611.3,5606504,3437638106.9,625.9,344.4,108017,INE795G01014,2019-10-23,2019-10-22T18:30:00.000Z,2019-11-11T09:05:10.429Z,2019-11-11T09:05:10.429Z,0,,613.15,23-Oct-2019,,
5dc924459606c20009de3a0f,HDFCLIFE,EQ,N,624.25,605.5,609.95,611.3,612.5,608.45,2673829,1644832492.9,624.25,344.4,61740,INE795G01014,2019-10-22,2019-10-21T18:30:00.000Z,2019-11-11T09:05:10.522Z,2019-11-11T09:05:10.522Z,0,,615.16,22-Oct-2019,,
5dc924459606c20009de3963,HDFCLIFE,EQ,N,616.5,607.0,615.7,608.45,607.75,615.15,1922910,1173196879.4,622.0,344.4,63890,INE795G01014,2019-10-18,2019-10-17T18:30:00.000Z,2019-11-11T09:05:09.512Z,2019-11-11T09:05:09.512Z,0,,610.12,18-Oct-2019,,
5dc924459606c20009de3924,HDFCLIFE,EQ,N,622.0,610.0,612.95,615.15,615.0,610.6,2893199,1784076332.55,622.0,344.4,59164,INE795G01014,2019-10-17,2019-10-16T18:30:00.000Z,2019-11-11T09:05:09.602Z,2019-11-11T09:05:09.602Z,0,,616.64,17-Oct-2019,,
5dc924459606c20009de390e,HDFCLIFE,EQ,N,615.85,594.0,594.8,610.6,609.9,592.75,3769552,2297107716.75,615.85,344.4,75624,INE795G01014,2019-10-16,2019-10-15T18:30:00.000Z,2019-11-11T09:05:10.060Z,2019-11-11T09:05:10.060Z,0,,609.38,16-Oct-2019,,
5dc924459606c20009de3982,HDFCLIFE,EQ,N,595.85,580.6,581.0,592.75,593.0,582.3,1429097,845929342.35,609.0,344.4,35770,INE795G01014,2019-10-15,2019-10-14T18:30:00.000Z,2019-11-11T09:05:09.602Z,2019-11-11T09:05:09.602Z,0,,591.93,15-Oct-2019,,
5dc924459606c20009de38d0,HDFCLIFE,EQ,N,589.7,580.0,586.0,582.3,582.0,590.65,1659110,970812470.75,609.0,344.4,58601,INE795G01014,2019-10-14,2019-10-13T18:30:00.000Z,2019-11-11T09:05:10.147Z,2019-11-11T09:05:10.147Z,0,,585.14,14-Oct-2019,,
5dc924459606c20009de3b65,HDFCLIFE,EQ,N,599.7,584.0,585.0,590.65,590.5,583.8,4147792,2454032790.25,609.0,344.4,49632,INE795G01014,2019-10-11,2019-10-10T18:30:00.000Z,2019-11-11T09:05:10.147Z,2019-11-11T09:05:10.147Z,0,,591.65,11-Oct-2019,,
5dc924459606c20009de3907,HDFCLIFE,EQ,N,589.0,575.0,577.5,583.8,583.35,580.5,1556208,906732142.15,609.0,344.4,25824,INE795G01014,2019-10-10,2019-10-09T18:30:00.000Z,2019-11-11T09:05:09.690Z,2019-11-11T09:05:09.690Z,0,,582.65,10-Oct-2019,,
5dc924449606c20009de3768,HDFCLIFE,EQ,N,586.75,573.7,575.2,580.5,579.4,575.45,1579192,918131944.25,609.0,344.4,43954,INE795G01014,2019-10-09,2019-10-08T18:30:00.000Z,2019-11-11T09:05:09.512Z,2019-11-11T09:05:09.512Z,0,,581.39,09-Oct-2019,,
5dc924449606c20009de3831,HDFCLIFE,EQ,N,584.5,572.05,584.5,575.45,575.0,584.45,3237005,1867407426.65,609.0,344.4,86738,INE795G01014,2019-10-07,2019-10-06T18:30:00.000Z,2019-11-11T09:05:09.602Z,2019-11-11T09:05:09.602Z,0,,576.89,07-Oct-2019,,
5dc924459606c20009de38b6,HDFCLIFE,EQ,N,594.7,582.05,593.25,584.45,583.95,592.9,2889488,1705009409.95,609.0,344.4,46001,INE795G01014,2019-10-04,2019-10-03T18:30:00.000Z,2019-11-11T09:05:09.602Z,2019-11-11T09:05:09.602Z,0,,590.07,04-Oct-2019,,
5dc924459606c20009de39a8,HDFCLIFE,EQ,N,597.85,575.5,596.3,592.9,592.0,598.2,3634620,2140385069.4,609.0,344.4,82476,INE795G01014,2019-10-03,2019-10-02T18:30:00.000Z,2019-11-11T09:05:10.147Z,2019-11-11T09:05:10.147Z,0,,588.89,03-Oct-2019,,
5dc924449606c20009de3844,HDFCLIFE,EQ,N,608.0,590.35,604.2,598.2,596.2,601.15,3176809,1893010681.0,609.0,344.4,46993,INE795G01014,2019-10-01,2019-09-30T18:30:00.000Z,2019-11-11T09:05:09.512Z,2019-11-11T09:05:09.512Z,0,,595.88,01-Oct-2019,,
5dc924459606c20009de39fa,HDFCLIFE,EQ,N,609.0,585.0,585.0,601.15,600.4,582.3,5522478,3308152149.2,609.0,344.4,111452,INE795G01014,2019-09-30,2019-09-29T18:30:00.000Z,2019-11-11T09:05:10.428Z,2019-11-11T09:05:10.428Z,0,,599.03,30-Sep-2019,,
