_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP
60c200016804760008d0c373,ICICIBANK,EQ,N,538.5,526.5,530.1,535.05,534.0,528.75,27817770,14866484569.75,552.2,268.3,213687,INE090A01021,2020-12-31,2020-12-30T18:30:00.000Z,2021-06-10T12:05:21.245Z,2021-06-10T12:05:21.245Z,0,,534.42,31-Dec-2020
60c1ffed6804760008d0ba5f,ICICIBANK,EQ,N,533.0,524.55,531.65,528.75,527.6,528.8,21365141,11274861112.5,552.2,268.3,174183,INE090A01021,2020-12-30,2020-12-29T18:30:00.000Z,2021-06-10T12:05:01.024Z,2021-06-10T12:05:01.024Z,0,,527.72,30-Dec-2020
60c1ffd77ad7b2000823865d,ICICIBANK,EQ,N,530.8,517.85,522.55,528.8,530.1,520.1,19092649,10016116974.55,552.2,268.3,210508,INE090A01021,2020-12-29,2020-12-28T18:30:00.000Z,2021-06-10T12:04:39.701Z,2021-06-10T12:04:39.701Z,0,,524.61,29-Dec-2020
60c1ffc357283a0008f1791b,ICICIBANK,EQ,N,521.2,513.6,515.9,520.1,520.5,513.55,14470472,7499174202.4,552.2,268.3,135145,INE090A01021,2020-12-28,2020-12-27T18:30:00.000Z,2021-06-10T12:04:19.347Z,2021-06-10T12:04:19.347Z,0,,518.24,28-Dec-2020
60c1ffaef9fddb000867bb75,ICICIBANK,EQ,N,515.95,505.1,506.75,513.55,513.05,503.6,17576807,9008152086.3,552.2,268.3,161245,INE090A01021,2020-12-24,2020-12-23T18:30:00.000Z,2021-06-10T12:03:58.259Z,2021-06-10T12:03:58.259Z,0,,512.5,24-Dec-2020
60c1ff987ad7b20008237d52,ICICIBANK,EQ,N,505.5,496.55,499.0,503.6,505.0,500.3,19205951,9630775716.2,552.2,268.3,146815,INE090A01021,2020-12-23,2020-12-22T18:30:00.000Z,2021-06-10T12:03:37.004Z,2021-06-10T12:03:37.004Z,0,,501.45,23-Dec-2020
60c1ff8357283a0008f17010,ICICIBANK,EQ,N,501.8,489.1,497.3,500.3,499.55,494.5,32328041,16027888554.5,552.2,268.3,298026,INE090A01021,2020-12-22,2020-12-21T18:30:00.000Z,2021-06-10T12:03:15.542Z,2021-06-10T12:03:15.542Z,0,,495.79,22-Dec-2020
60c1ff6ef9fddb000867b25a,ICICIBANK,EQ,N,514.7,488.2,514.6,494.5,492.3,517.15,29157759,14657894000.45,552.2,268.3,282306,INE090A01021,2020-12-21,2020-12-20T18:30:00.000Z,2021-06-10T12:02:54.910Z,2021-06-10T12:02:54.910Z,0,,502.71,21-Dec-2020
60c1ff5a6804760008d0b12f,ICICIBANK,EQ,N,518.25,509.15,514.0,517.15,515.95,510.4,21735833,11165404700.7,552.2,268.3,174566,INE090A01021,2020-12-18,2020-12-17T18:30:00.000Z,2021-06-10T12:02:34.192Z,2021-06-10T12:02:34.192Z,0,,513.69,18-Dec-2020
60c1ff446804760008d0a810,ICICIBANK,EQ,N,516.5,509.1,514.0,510.4,511.3,512.45,23883288,12236460854.55,552.2,268.3,218945,INE090A01021,2020-12-17,2020-12-16T18:30:00.000Z,2021-06-10T12:02:12.785Z,2021-06-10T12:02:12.785Z,0,,512.34,17-Dec-2020
60c1ff307ad7b20008237419,ICICIBANK,EQ,N,521.7,511.1,520.05,512.45,512.5,518.05,24263586,12506468426.15,552.2,268.3,248492,INE090A01021,2020-12-16,2020-12-15T18:30:00.000Z,2021-06-10T12:01:52.335Z,2021-06-10T12:01:52.335Z,0,,515.44,16-Dec-2020
60c1ff1b57283a0008f166f4,ICICIBANK,EQ,N,524.25,513.1,524.0,518.05,516.7,525.8,26969145,13943853862.1,552.2,268.3,247714,INE090A01021,2020-12-15,2020-12-14T18:30:00.000Z,2021-06-10T12:01:31.782Z,2021-06-10T12:01:31.782Z,0,,517.03,15-Dec-2020
