_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
6773dcffc3d8efb79b692a4a,LICHSGFIN,EQ,N,2024-12-31,2024-12-30T18:30:00.000Z,599.4,585.75,590.0,598.05,599.0,590.8,660447,392076193.55,826.75,538.3,33672,INE115A01026,2024-12-31T12:01:03.649Z,2024-12-31T12:01:03.649Z,0,,593.65,31-Dec-2024,
67728b7f3592730a18a59ad5,LICHSGFIN,EQ,N,2024-12-30,2024-12-29T18:30:00.000Z,602.85,587.6,596.6,590.8,591.85,596.6,1115570,665200937.65,826.75,538.3,33715,INE115A01026,2024-12-30T12:01:03.771Z,2024-12-30T12:01:03.771Z,0,,596.29,30-Dec-2024,
676e96de9d250c1c5728035b,LICHSGFIN,EQ,N,2024-12-27,2024-12-26T18:30:00.000Z,604.5,588.85,591.0,596.6,596.8,588.2,1065043,636248096.4,826.75,511.85,34334,INE115A01026,2024-12-27T12:00:30.399Z,2024-12-27T12:00:30.399Z,0,,597.39,27-Dec-2024,
676d457f8d87f25407c725c6,LICHSGFIN,EQ,N,2024-12-26,2024-12-25T18:30:00.000Z,589.85,581.5,585.55,588.2,588.35,585.05,1207304,707478337.25,826.75,511.85,41812,INE115A01026,2024-12-26T12:01:03.282Z,2024-12-26T12:01:03.282Z,0,,586.0,26-Dec-2024,
676aa25c860a445c03ce25f7,LICHSGFIN,EQ,N,2024-12-24,2024-12-23T18:30:00.000Z,593.2,583.1,585.0,585.05,583.1,583.25,701040,412323590.8,826.75,511.85,30417,INE115A01026,2024-12-24T12:00:28.059Z,2024-12-24T12:00:28.059Z,0,,588.16,24-Dec-2024,
676950ffd102eff4ef7dc810,LICHSGFIN,EQ,N,2024-12-23,2024-12-22T18:30:00.000Z,587.4,577.1,583.55,583.25,585.2,582.25,1457232,849376954.15,826.75,511.85,45343,INE115A01026,2024-12-23T12:01:03.916Z,2024-12-23T12:01:03.916Z,0,,582.87,23-Dec-2024,
67655c7f8a68cdbf78107ab1,LICHSGFIN,EQ,N,2024-12-20,2024-12-19T18:30:00.000Z,601.95,577.45,592.5,582.25,579.0,591.85,2125670,1255210774.45,826.75,505.05,52914,INE115A01026,2024-12-20T12:01:03.919Z,2024-12-20T12:01:03.919Z,0,,590.5,20-Dec-2024,
67640aff0fa404e90897f945,LICHSGFIN,EQ,N,2024-12-19,2024-12-18T18:30:00.000Z,594.5,584.0,588.05,591.85,591.5,598.95,1272910,750957132.45,826.75,505.05,61689,INE115A01026,2024-12-19T12:01:03.516Z,2024-12-19T12:01:03.516Z,0,,589.95,19-Dec-2024,
6762b95c0fa404e90897ec7b,LICHSGFIN,EQ,N,2024-12-18,2024-12-17T18:30:00.000Z,610.0,593.9,608.8,598.95,599.6,604.85,2950682,1769404613.15,826.75,505.05,60089,INE115A01026,2024-12-18T12:00:28.400Z,2024-12-18T12:00:28.400Z,0,,599.66,18-Dec-2024,
676167dcda3f93657ef45c00,LICHSGFIN,EQ,N,2024-12-17,2024-12-16T18:30:00.000Z,627.45,602.5,625.05,604.85,605.9,625.95,2426995,1482307105.0,826.75,505.05,54526,INE115A01026,2024-12-17T12:00:29.007Z,2024-12-17T12:00:29.007Z,0,,610.76,17-Dec-2024,
