_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA,symChange
5cfa2efa18f90d000821324c,RECLTD,EQ,N,123.8,120.3,123.0,122.15,121.5,122.0,8343680,1015653242.0,165.35,89.0,30292,INE020B01018,2018-12-31,2018-12-30T18:30:00.000Z,2019-06-07T09:31:38.777Z,2019-06-07T09:31:38.777Z,0,,121.73,31-Dec-2018,,
5cfa2ee69ebde10008cb2bc1,RECLTD,EQ,N,123.0,116.75,116.8,122.0,122.6,116.2,12409216,1491568105.9,165.35,89.0,47196,INE020B01018,2018-12-28,2018-12-27T18:30:00.000Z,2019-06-07T09:31:19.154Z,2019-06-07T09:31:19.154Z,0,,120.2,28-Dec-2018,,
5cfa2eee2aff480008aaa507,RECLTD,EQ,N,119.15,114.15,115.5,116.2,118.0,115.7,34732410,4055715347.0,165.35,89.0,90118,INE020B01018,2018-12-27,2018-12-26T18:30:00.000Z,2019-06-07T09:31:27.664Z,2019-06-07T09:31:27.664Z,0,,116.77,27-Dec-2018,,
5cfa2ef22aff480008aaa7e3,RECLTD,EQ,N,116.3,110.8,113.6,115.7,115.8,113.75,13271858,1519984618.0,165.35,89.0,51947,INE020B01018,2018-12-26,2018-12-25T18:30:00.000Z,2019-06-07T09:31:33.489Z,2019-06-07T09:31:33.489Z,0,,114.53,26-Dec-2018,,
5cfa2f02aa58de00086bb3ad,RECLTD,EQ,N,114.9,108.8,111.0,113.75,114.25,109.4,22456031,2525982035.25,165.35,89.0,63984,INE020B01018,2018-12-24,2018-12-23T18:30:00.000Z,2019-06-07T09:31:46.820Z,2019-06-07T09:31:46.820Z,0,,112.49,24-Dec-2018,,
5cfa2f09aa58de00086bb7db,RECLTD,EQ,N,111.1,107.85,110.5,109.4,109.6,109.85,10814288,1182994526.75,165.35,89.0,42719,INE020B01018,2018-12-21,2018-12-20T18:30:00.000Z,2019-06-07T09:31:55.587Z,2019-06-07T09:31:55.587Z,0,,109.39,21-Dec-2018,,
5cfa2f252dd783000744a1b5,RECLTD,EQ,N,110.8,106.35,106.6,109.85,109.5,107.0,13532926,1479087603.4,165.35,89.0,39966,INE020B01018,2018-12-20,2018-12-19T18:30:00.000Z,2019-06-07T09:32:22.541Z,2019-06-07T09:32:22.541Z,0,,109.3,20-Dec-2018,,
5cfa2f1e2dd7830007449cd1,RECLTD,EQ,N,109.15,106.35,107.9,107.0,107.15,107.8,7305645,784787730.0,165.35,89.0,31274,INE020B01018,2018-12-19,2018-12-18T18:30:00.000Z,2019-06-07T09:32:14.531Z,2019-06-07T09:32:14.531Z,0,,107.42,19-Dec-2018,,
5cfa2f398c50c400083225ac,RECLTD,EQ,N,108.25,103.5,105.0,107.8,107.8,105.65,11502082,1229276492.95,165.35,89.0,35894,INE020B01018,2018-12-18,2018-12-17T18:30:00.000Z,2019-06-07T09:32:41.134Z,2019-06-07T09:32:41.134Z,0,,106.87,18-Dec-2018,,
5cfa2ed550e5a10008c70b52,RECLTD,EQ,N,107.25,103.95,104.45,105.65,105.5,104.0,9617723,1012081678.55,165.35,89.0,36015,INE020B01018,2018-12-17,2018-12-16T18:30:00.000Z,2019-06-07T09:31:02.563Z,2019-06-07T09:31:02.563Z,0,,105.23,17-Dec-2018,,
5cfa2f3e8c50c40008322a23,RECLTD,EQ,N,105.15,100.7,102.0,104.0,104.0,101.65,13824101,1431499735.25,165.35,89.0,86106,INE020B01018,2018-12-14,2018-12-13T18:30:00.000Z,2019-06-07T09:32:46.208Z,2019-06-07T09:32:46.208Z,0,,103.55,14-Dec-2018,,
5cfa2ec3fe058700082b5777,RECLTD,EQ,N,105.75,100.65,103.5,101.65,101.9,102.0,14477273,1489321561.55,165.35,89.0,58958,INE020B01018,2018-12-13,2018-12-12T18:30:00.000Z,2019-06-07T09:30:44.924Z,2019-06-07T09:30:44.924Z,0,,102.87,13-Dec-2018,,
5cfa2ec950e5a10008c7020d,RECLTD,EQ,N,104.8,101.3,102.6,102.0,102.0,102.65,14979157,1540156970.5,165.35,89.0,73834,INE020B01018,2018-12-12,2018-12-11T18:30:00.000Z,2019-06-07T09:30:49.889Z,2019-06-07T09:30:49.889Z,0,,102.82,12-Dec-2018,,
5cfa2ebffe058700082b5538,RECLTD,EQ,N,104.5,99.2,99.25,102.65,102.5,100.35,13553038,1388742799.85,165.35,89.0,112921,INE020B01018,2018-12-11,2018-12-10T18:30:00.000Z,2019-06-07T09:30:39.736Z,2019-06-07T09:30:39.736Z,0,,102.47,11-Dec-2018,,
5cfa2eea18f90d00082127bc,RECLTD,EQ,N,102.7,98.75,101.85,100.35,100.3,104.65,22041595,2209471479.1,165.35,89.0,107857,INE020B01018,2018-12-10,2018-12-09T18:30:00.000Z,2019-06-07T09:31:23.558Z,2019-06-07T09:31:23.558Z,0,,100.24,10-Dec-2018,,
5cfa2ed69ebde10008cb20d5,RECLTD,EQ,N,106.3,102.6,104.05,104.65,104.7,103.85,13517081,1412935166.95,165.35,89.0,61370,INE020B01018,2018-12-07,2018-12-06T18:30:00.000Z,2019-06-07T09:31:03.132Z,2019-06-07T09:31:03.132Z,0,,104.53,07-Dec-2018,,
5cfa2ed09ebde10008cb1c9f,RECLTD,EQ,N,106.55,103.0,106.0,103.85,103.1,105.05,10194067,1068495156.9,165.35,89.0,60276,INE020B01018,2018-12-06,2018-12-05T18:30:00.000Z,2019-06-07T09:30:57.062Z,2019-06-07T09:30:57.062Z,0,,104.82,06-Dec-2018,,
5cfa2ef12aff480008aaa724,RECLTD,EQ,N,108.75,103.5,106.25,105.05,104.9,106.55,15496939,1640871611.15,165.35,89.0,74486,INE020B01018,2018-12-05,2018-12-04T18:30:00.000Z,2019-06-07T09:31:32.143Z,2019-06-07T09:31:32.143Z,0,,105.88,05-Dec-2018,,
5ce55444242e790007d56abf,RECLTD,EQ,N,107.65,103.2,105.25,106.55,106.1,105.65,12635461,1335763498.2,165.35,89.0,66192,INE020B01018,2018-12-04,2018-12-03T18:30:00.000Z,2019-05-22T13:53:08.490Z,2019-05-22T13:53:08.490Z,0,,105.72,04-Dec-2018,,
5cfa2f04aa58de00086bb52d,RECLTD,EQ,N,109.85,100.5,101.25,105.65,105.6,99.9,20952231,2221504728.8,165.35,89.0,82183,INE020B01018,2018-12-03,2018-12-02T18:30:00.000Z,2019-06-07T09:31:49.248Z,2019-06-07T09:31:49.248Z,0,,106.03,03-Dec-2018,,
