_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
641ec3954708d500072597b0,TECHM,EQ,N,493.0,482.0,482.0,488.9,488.55,482.7,1817123,890047440.45,564.0,405.5,67362,INE669C01036,2016-12-30,2016-12-29T18:30:00.000Z,2023-03-25T09:49:09.122Z,2023-03-25T09:49:09.122Z,0,,489.81,30-Dec-2016,
641ec38a486b700006346f50,TECHM,EQ,N,484.45,469.5,471.05,482.7,481.6,474.15,2079991,996949754.7,564.0,405.5,37556,INE669C01036,2016-12-29,2016-12-28T18:30:00.000Z,2023-03-25T09:48:58.996Z,2023-03-25T09:48:58.996Z,0,,479.3,29-Dec-2016,
641ec380be69c00007c3c6aa,TECHM,EQ,N,477.0,469.0,469.0,474.15,474.55,468.2,1658315,787334159.5,564.0,405.5,34299,INE669C01036,2016-12-28,2016-12-27T18:30:00.000Z,2023-03-25T09:48:48.930Z,2023-03-25T09:48:48.930Z,0,,474.78,28-Dec-2016,
641ec376341dfa0007d15ddc,TECHM,EQ,N,474.0,460.05,460.5,468.2,468.0,463.6,1061513,497524239.2,564.0,405.5,31773,INE669C01036,2016-12-27,2016-12-26T18:30:00.000Z,2023-03-25T09:48:38.798Z,2023-03-25T09:48:38.798Z,0,,468.69,27-Dec-2016,
641ec36c31da23000791d936,TECHM,EQ,N,468.05,460.4,463.25,463.6,463.0,467.1,572307,265585315.55,564.0,405.5,22960,INE669C01036,2016-12-26,2016-12-25T18:30:00.000Z,2023-03-25T09:48:28.717Z,2023-03-25T09:48:28.717Z,0,,464.06,26-Dec-2016,
641ec3623dfde30007cd073a,TECHM,EQ,N,477.45,465.25,474.0,467.1,467.15,473.95,942216,442511869.6,564.0,405.5,36595,INE669C01036,2016-12-23,2016-12-22T18:30:00.000Z,2023-03-25T09:48:18.669Z,2023-03-25T09:48:18.669Z,0,,469.65,23-Dec-2016,
641ec3580125d800074745b6,TECHM,EQ,N,477.2,464.55,472.3,473.95,474.0,474.45,932766,438559634.85,564.0,405.5,38751,INE669C01036,2016-12-22,2016-12-21T18:30:00.000Z,2023-03-25T09:48:08.446Z,2023-03-25T09:48:08.446Z,0,,470.17,22-Dec-2016,
641ec34e2c03d7000702fff5,TECHM,EQ,N,479.6,472.5,478.0,474.45,474.0,476.75,667563,317953993.9,564.0,405.5,18148,INE669C01036,2016-12-21,2016-12-20T18:30:00.000Z,2023-03-25T09:47:58.520Z,2023-03-25T09:47:58.520Z,0,,476.29,21-Dec-2016,
641ec34428313b0007ccf5a5,TECHM,EQ,N,480.75,473.65,476.9,476.75,475.85,473.35,1919780,918964052.25,564.0,405.5,56929,INE669C01036,2016-12-20,2016-12-19T18:30:00.000Z,2023-03-25T09:47:48.200Z,2023-03-25T09:47:48.200Z,0,,478.68,20-Dec-2016,
641ec33a2405c500079807e7,TECHM,EQ,N,475.6,470.45,474.0,473.35,473.0,477.15,1389090,657038945.45,564.0,405.5,20577,INE669C01036,2016-12-19,2016-12-18T18:30:00.000Z,2023-03-25T09:47:38.187Z,2023-03-25T09:47:38.187Z,0,,473.0,19-Dec-2016,
