_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
5f2ab08a6880400008eee691,ADANIENT,EQ,N,168.25,163.9,165.0,166.35,165.5,165.25,4272076,710091312.85,169.35,68.65,17481,INE423A01024,2017-12-29,2017-12-28T18:30:00.000Z,2020-08-05T13:13:46.600Z,2020-08-05T13:13:46.600Z,0,,166.22,29-Dec-2017,
5f2ab080083f1b00087a1bbc,ADANIENT,EQ,N,167.2,163.5,166.0,165.25,164.5,165.95,3753225,621036922.15,169.35,68.65,21986,INE423A01024,2017-12-28,2017-12-27T18:30:00.000Z,2020-08-05T13:13:36.374Z,2020-08-05T13:13:36.374Z,0,,165.47,28-Dec-2017,
5f2ab076083f1b00087a12f0,ADANIENT,EQ,N,169.35,162.4,163.0,165.95,165.25,163.2,9076528,1514434991.7,169.35,68.65,52117,INE423A01024,2017-12-27,2017-12-26T18:30:00.000Z,2020-08-05T13:13:26.260Z,2020-08-05T13:13:26.260Z,0,,166.85,27-Dec-2017,
5f2ab06cfe882b0009f7ce49,ADANIENT,EQ,N,165.2,160.95,163.0,163.2,162.8,162.9,2925999,477131467.1,166.45,68.65,14781,INE423A01024,2017-12-26,2017-12-25T18:30:00.000Z,2020-08-05T13:13:16.028Z,2020-08-05T13:13:16.028Z,0,,163.07,26-Dec-2017,
5f2ab061fe882b0009f7c59b,ADANIENT,EQ,N,165.95,161.1,162.95,162.9,162.2,162.6,4597724,752665533.05,166.45,68.65,22781,INE423A01024,2017-12-22,2017-12-21T18:30:00.000Z,2020-08-05T13:13:05.871Z,2020-08-05T13:13:05.871Z,0,,163.7,22-Dec-2017,
5f2ab057083f1b00087a0a32,ADANIENT,EQ,N,164.95,160.25,161.0,162.6,161.9,160.95,5528048,899293372.0,166.45,68.65,30354,INE423A01024,2017-12-21,2017-12-20T18:30:00.000Z,2020-08-05T13:12:55.637Z,2020-08-05T13:12:55.637Z,0,,162.68,21-Dec-2017,
5f2ab04d434c8f000826176f,ADANIENT,EQ,N,163.05,157.7,160.0,160.95,161.3,160.4,6211843,996665502.0,166.45,68.65,29640,INE423A01024,2017-12-20,2017-12-19T18:30:00.000Z,2020-08-05T13:12:45.402Z,2020-08-05T13:12:45.402Z,0,,160.45,20-Dec-2017,
5f2ab043434c8f0008260ef9,ADANIENT,EQ,N,161.7,155.85,159.9,160.4,160.4,159.95,8093608,1292185417.45,166.45,68.65,36998,INE423A01024,2017-12-19,2017-12-18T18:30:00.000Z,2020-08-05T13:12:35.280Z,2020-08-05T13:12:35.280Z,0,,159.66,19-Dec-2017,
5f2ab0396880400008eede45,ADANIENT,EQ,N,166.45,139.7,148.0,159.95,159.7,155.2,36258411,5702515213.3,166.45,68.65,149721,INE423A01024,2017-12-18,2017-12-17T18:30:00.000Z,2020-08-05T13:12:25.082Z,2020-08-05T13:12:25.082Z,0,,157.27,18-Dec-2017,
5f2ab02e6880400008eed605,ADANIENT,EQ,N,155.8,150.7,154.95,155.2,155.7,148.55,9641091,1478216780.15,162.0,68.65,42138,INE423A01024,2017-12-15,2017-12-14T18:30:00.000Z,2020-08-05T13:12:14.914Z,2020-08-05T13:12:14.914Z,0,,153.32,15-Dec-2017,
5f2ab024083f1b00087a01e9,ADANIENT,EQ,N,150.3,142.85,147.0,148.55,150.0,147.5,4719833,691482253.45,162.0,68.65,23263,INE423A01024,2017-12-14,2017-12-13T18:30:00.000Z,2020-08-05T13:12:04.755Z,2020-08-05T13:12:04.755Z,0,,146.51,14-Dec-2017,
5f2ab01afe882b0009f7bd26,ADANIENT,EQ,N,153.4,146.2,150.0,147.5,146.8,152.55,7720271,1158732477.05,162.0,68.65,32816,INE423A01024,2017-12-13,2017-12-12T18:30:00.000Z,2020-08-05T13:11:54.535Z,2020-08-05T13:11:54.535Z,0,,150.09,13-Dec-2017,
5f2ab010fe882b0009f7b446,ADANIENT,EQ,N,155.3,149.05,153.9,152.55,151.35,153.3,7656986,1167253171.45,162.0,68.65,45839,INE423A01024,2017-12-12,2017-12-11T18:30:00.000Z,2020-08-05T13:11:44.403Z,2020-08-05T13:11:44.403Z,0,,152.44,12-Dec-2017,
5f2ab006083f1b000879f937,ADANIENT,EQ,N,154.25,149.7,152.4,153.3,153.05,151.05,4547863,691816837.15,162.0,68.65,28738,INE423A01024,2017-12-11,2017-12-10T18:30:00.000Z,2020-08-05T13:11:34.218Z,2020-08-05T13:11:34.218Z,0,,152.12,11-Dec-2017,
5f2aaffb434c8f000826069e,ADANIENT,EQ,N,152.55,148.6,149.2,151.05,150.8,147.55,5248995,789404146.9,162.0,67.1,29722,INE423A01024,2017-12-08,2017-12-07T18:30:00.000Z,2020-08-05T13:11:24.016Z,2020-08-05T13:11:24.016Z,0,,150.39,08-Dec-2017,
5f2aaff1434c8f000825fe24,ADANIENT,EQ,N,148.95,142.1,142.7,147.55,148.55,142.25,3346587,486648240.4,162.0,67.1,20915,INE423A01024,2017-12-07,2017-12-06T18:30:00.000Z,2020-08-05T13:11:13.865Z,2020-08-05T13:11:13.865Z,0,,145.42,07-Dec-2017,
5f2aafe76880400008eecc5b,ADANIENT,EQ,N,147.4,141.3,143.7,142.25,142.0,145.75,3852721,557352717.85,162.0,67.1,20248,INE423A01024,2017-12-06,2017-12-05T18:30:00.000Z,2020-08-05T13:11:03.696Z,2020-08-05T13:11:03.696Z,0,,144.66,06-Dec-2017,
5f2aafddfe882b0009f7ab47,ADANIENT,EQ,N,146.8,139.55,142.65,145.75,146.45,142.6,4720284,674550664.75,162.0,67.1,22321,INE423A01024,2017-12-05,2017-12-04T18:30:00.000Z,2020-08-05T13:10:53.510Z,2020-08-05T13:10:53.510Z,0,,142.9,05-Dec-2017,
5f2aafd3083f1b000879f0a9,ADANIENT,EQ,N,145.8,131.75,142.8,142.6,143.75,142.35,6970705,989479146.6,162.0,67.1,33074,INE423A01024,2017-12-04,2017-12-03T18:30:00.000Z,2020-08-05T13:10:43.313Z,2020-08-05T13:10:43.313Z,0,,141.95,04-Dec-2017,
5f2aafaa6880400008eec534,ADANIENT,EQ,N,151.35,140.05,147.0,142.35,140.8,146.6,5272779,779573102.55,162.0,63.0,25696,INE423A01024,2017-12-01,2017-11-30T18:30:00.000Z,2020-08-05T13:10:02.947Z,2020-08-05T13:10:02.947Z,0,,147.85,01-Dec-2017,
5f2aafa0083f1b000879e78f,ADANIENT,EQ,N,149.5,145.1,146.5,146.6,147.0,147.45,2702060,396848968.95,162.0,63.0,17753,INE423A01024,2017-11-30,2017-11-29T18:30:00.000Z,2020-08-05T13:09:52.760Z,2020-08-05T13:09:52.760Z,0,,146.87,30-Nov-2017,
5f2aaf96083f1b000879df03,ADANIENT,EQ,N,149.45,146.0,148.85,147.45,147.65,148.85,2648352,390532055.05,162.0,63.0,15640,INE423A01024,2017-11-29,2017-11-28T18:30:00.000Z,2020-08-05T13:09:42.612Z,2020-08-05T13:09:42.612Z,0,,147.46,29-Nov-2017,
