_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
641ec3944708d50007259368,HINDCOPPER,EQ,N,60.7,59.3,59.75,59.6,59.4,59.25,487565,29223795.85,73.8,42.0,3109,INE531E01026,2016-12-30,2016-12-29T18:30:00.000Z,2023-03-25T09:49:08.276Z,2023-03-25T09:49:08.276Z,0,,59.94,30-Dec-2016,
641ec38a486b700006346b0a,HINDCOPPER,EQ,N,59.8,58.4,59.8,59.25,59.35,59.1,392558,23220808.9,73.8,42.0,3382,INE531E01026,2016-12-29,2016-12-28T18:30:00.000Z,2023-03-25T09:48:58.161Z,2023-03-25T09:48:58.161Z,0,,59.15,29-Dec-2016,
641ec380be69c00007c3c291,HINDCOPPER,EQ,N,60.6,58.8,59.4,59.1,59.1,58.45,732917,43720167.65,73.8,42.0,4584,INE531E01026,2016-12-28,2016-12-27T18:30:00.000Z,2023-03-25T09:48:48.121Z,2023-03-25T09:48:48.121Z,0,,59.65,28-Dec-2016,
641ec375341dfa0007d159a5,HINDCOPPER,EQ,N,59.45,57.5,58.55,58.45,58.2,58.2,525092,30651862.9,73.8,42.0,3732,INE531E01026,2016-12-27,2016-12-26T18:30:00.000Z,2023-03-25T09:48:37.959Z,2023-03-25T09:48:37.959Z,0,,58.37,27-Dec-2016,
641ec36b31da23000791d509,HINDCOPPER,EQ,N,61.9,57.7,58.25,58.2,58.05,58.55,1888829,112922413.9,73.8,42.0,9206,INE531E01026,2016-12-26,2016-12-25T18:30:00.000Z,2023-03-25T09:48:27.844Z,2023-03-25T09:48:27.844Z,0,,59.78,26-Dec-2016,
641ec3613dfde30007cd031a,HINDCOPPER,EQ,N,60.15,55.85,55.9,58.55,58.4,56.45,1568975,91903986.05,73.8,42.0,8811,INE531E01026,2016-12-23,2016-12-22T18:30:00.000Z,2023-03-25T09:48:17.829Z,2023-03-25T09:48:17.829Z,0,,58.58,23-Dec-2016,
641ec3570125d80007474196,HINDCOPPER,EQ,N,58.3,55.75,58.1,56.45,56.7,57.95,609881,34642160.95,73.8,42.0,3697,INE531E01026,2016-12-22,2016-12-21T18:30:00.000Z,2023-03-25T09:48:07.664Z,2023-03-25T09:48:07.664Z,0,,56.8,22-Dec-2016,
641ec34d2c03d7000702fbc1,HINDCOPPER,EQ,N,59.2,57.8,58.55,57.95,57.85,58.4,296487,17341647.9,73.8,42.0,2089,INE531E01026,2016-12-21,2016-12-20T18:30:00.000Z,2023-03-25T09:47:57.650Z,2023-03-25T09:47:57.650Z,0,,58.49,21-Dec-2016,
641ec34328313b0007ccf171,HINDCOPPER,EQ,N,60.3,57.65,57.75,58.4,58.7,57.95,826347,48727815.45,73.8,42.0,4085,INE531E01026,2016-12-20,2016-12-19T18:30:00.000Z,2023-03-25T09:47:47.432Z,2023-03-25T09:47:47.432Z,0,,58.97,20-Dec-2016,
641ec3392405c500079803af,HINDCOPPER,EQ,N,58.9,57.7,58.9,57.95,58.0,58.45,323384,18856983.85,73.8,42.0,2025,INE531E01026,2016-12-19,2016-12-18T18:30:00.000Z,2023-03-25T09:47:37.355Z,2023-03-25T09:47:37.355Z,0,,58.31,19-Dec-2016,
