_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
6773dd01c3d8efb79b6937db,JSL,EQ,N,704.0,680.2,680.7,699.2,699.0,686.9,1157663,801754668.05,848.0,513.5,40090,INE220G01021,2024-12-31,2024-12-30T18:30:00.000Z,2024-12-31T12:01:05.085Z,2024-12-31T12:01:05.085Z,0,,692.56,31-Dec-2024,
67728b813592730a18a5a830,JSL,EQ,N,739.7,677.35,735.95,686.9,686.0,736.0,2206187,1546139398.5,848.0,513.5,83038,INE220G01021,2024-12-30,2024-12-29T18:30:00.000Z,2024-12-30T12:01:05.139Z,2024-12-30T12:01:05.139Z,0,,700.82,30-Dec-2024,
676e96df9d250c1c57281123,JSL,EQ,N,742.8,730.9,732.35,736.0,734.65,733.85,389564,287527200.35,848.0,513.5,22034,INE220G01021,2024-12-27,2024-12-26T18:30:00.000Z,2024-12-27T12:00:31.873Z,2024-12-27T12:00:31.873Z,0,,738.07,27-Dec-2024,
676d45808d87f25407c72a32,JSL,EQ,N,738.35,719.6,726.45,733.85,731.65,730.05,526487,383301809.8,848.0,513.5,27149,INE220G01021,2024-12-26,2024-12-25T18:30:00.000Z,2024-12-26T12:01:04.390Z,2024-12-26T12:01:04.390Z,0,,728.04,26-Dec-2024,
676aa25d860a445c03ce2a5f,JSL,EQ,N,736.8,712.8,728.05,730.05,730.0,728.0,1505466,1095177704.5,848.0,513.5,36215,INE220G01021,2024-12-24,2024-12-23T18:30:00.000Z,2024-12-24T12:00:29.183Z,2024-12-24T12:00:29.183Z,0,,727.47,24-Dec-2024,
67695101d102eff4ef7dcc80,JSL,EQ,N,730.7,710.0,719.5,728.0,728.0,719.8,995444,719895225.75,848.0,513.5,28029,INE220G01021,2024-12-23,2024-12-22T18:30:00.000Z,2024-12-23T12:01:05.018Z,2024-12-23T12:01:05.018Z,0,,723.19,23-Dec-2024,
67655c818a68cdbf78108828,JSL,EQ,N,746.9,716.6,745.95,719.8,717.4,739.2,768129,562453639.15,848.0,504.35,38921,INE220G01021,2024-12-20,2024-12-19T18:30:00.000Z,2024-12-20T12:01:05.393Z,2024-12-20T12:01:05.393Z,0,,732.24,20-Dec-2024,
67640b000fa404e90897fd91,JSL,EQ,N,746.0,715.8,722.05,739.2,741.0,739.0,597690,438095286.15,848.0,504.35,31543,INE220G01021,2024-12-19,2024-12-18T18:30:00.000Z,2024-12-19T12:01:04.627Z,2024-12-19T12:01:04.627Z,0,,732.98,19-Dec-2024,
6762b95d0fa404e90897f0d2,JSL,EQ,N,746.7,726.7,740.0,739.0,736.6,743.5,530052,391654363.35,848.0,504.35,30715,INE220G01021,2024-12-18,2024-12-17T18:30:00.000Z,2024-12-18T12:00:29.577Z,2024-12-18T12:00:29.577Z,0,,738.9,18-Dec-2024,
676167deda3f93657ef4691a,JSL,EQ,N,753.0,738.0,743.8,743.5,741.3,750.2,659526,492626507.45,848.0,504.35,40294,INE220G01021,2024-12-17,2024-12-16T18:30:00.000Z,2024-12-17T12:00:30.380Z,2024-12-17T12:00:30.380Z,0,,746.94,17-Dec-2024,
67601681eaa921f6ae66c2c3,JSL,EQ,N,763.95,745.0,762.5,750.2,745.0,760.3,381856,287876529.25,848.0,504.35,22091,INE220G01021,2024-12-16,2024-12-15T18:30:00.000Z,2024-12-16T12:01:05.386Z,2024-12-16T12:01:05.386Z,0,,753.89,16-Dec-2024,
675c232e39a54ec28ecfcfa1,JSL,EQ,N,762.0,738.7,754.95,760.3,757.25,752.65,548032,411454851.0,848.0,504.35,35426,INE220G01021,2024-12-13,2024-12-12T18:30:00.000Z,2024-12-13T12:06:06.560Z,2024-12-13T12:06:06.560Z,0,,750.79,13-Dec-2024,
675ad2baaba46b69d5048b84,JSL,EQ,N,755.5,740.9,747.2,752.65,750.05,747.1,526407,395264230.95,848.0,504.35,19555,INE220G01021,2024-12-12,2024-12-11T18:30:00.000Z,2024-12-12T12:10:34.884Z,2024-12-12T12:10:34.884Z,0,,750.87,12-Dec-2024,
67597ede69e32eca3c9691fc,JSL,EQ,N,754.0,742.6,745.5,747.1,747.0,746.65,338549,253284766.35,848.0,504.35,21181,INE220G01021,2024-12-11,2024-12-10T18:30:00.000Z,2024-12-11T12:00:30.269Z,2024-12-11T12:00:30.269Z,0,,748.15,11-Dec-2024,
67582d8116c352e2b141fac9,JSL,EQ,N,753.65,738.25,746.8,746.65,746.2,747.05,850485,634863959.7,848.0,504.35,42078,INE220G01021,2024-12-10,2024-12-09T18:30:00.000Z,2024-12-10T12:01:05.215Z,2024-12-10T12:01:05.215Z,0,,746.47,10-Dec-2024,
6756dc0039a54ec28ecfbdb5,JSL,EQ,N,750.55,736.65,743.95,747.05,747.0,741.6,692792,515607672.85,848.0,504.35,35042,INE220G01021,2024-12-09,2024-12-08T18:30:00.000Z,2024-12-09T12:01:04.508Z,2024-12-09T12:01:04.508Z,0,,744.25,09-Dec-2024,
6752e75e2630ec1e32686fd9,JSL,EQ,N,744.7,721.65,723.0,741.6,743.0,728.85,493516,364328869.45,848.0,504.35,24770,INE220G01021,2024-12-06,2024-12-05T18:30:00.000Z,2024-12-06T12:00:30.819Z,2024-12-06T12:00:30.819Z,0,,738.23,06-Dec-2024,
675196008acca1b1a49d8376,JSL,EQ,N,738.8,709.1,735.0,728.85,729.9,734.0,1199492,866914859.1,848.0,504.35,40159,INE220G01021,2024-12-05,2024-12-04T18:30:00.000Z,2024-12-05T12:01:04.886Z,2024-12-05T12:01:04.886Z,0,,722.74,05-Dec-2024,
675044805efd600b138bf10f,JSL,EQ,N,741.7,715.1,719.65,734.0,734.0,716.05,1269127,930321469.95,848.0,504.35,63711,INE220G01021,2024-12-04,2024-12-03T18:30:00.000Z,2024-12-04T12:01:04.649Z,2024-12-04T12:01:04.649Z,0,,733.04,04-Dec-2024,
674ef300255fd66265b2291a,JSL,EQ,N,725.0,694.0,695.0,716.05,716.0,691.75,1177977,842979020.4,848.0,504.35,49179,INE220G01021,2024-12-03,2024-12-02T18:30:00.000Z,2024-12-03T12:01:04.658Z,2024-12-03T12:01:04.658Z,0,,715.62,03-Dec-2024,
674da1829877930d399cce73,JSL,EQ,N,694.8,675.2,679.4,691.75,692.0,683.2,352981,241954891.2,848.0,504.35,19060,INE220G01021,2024-12-02,2024-12-01T18:30:00.000Z,2024-12-02T12:01:06.198Z,2024-12-02T12:01:06.198Z,0,,685.46,02-Dec-2024,
6749c28c03e42dbdbf1f66e6,JSL,EQ,N,698.65,676.0,695.8,683.2,679.1,696.0,690263,473215630.5,848.0,492.6,30576,INE220G01021,2024-11-29,2024-11-28T18:30:00.000Z,2024-11-29T13:33:00.697Z,2024-11-29T13:33:00.697Z,0,,685.56,29-Nov-2024,
6748852e698d46a5805e194e,JSL,EQ,N,702.95,679.0,687.5,696.0,697.4,686.15,549298,381253717.15,848.0,492.6,27978,INE220G01021,2024-11-28,2024-11-27T18:30:00.000Z,2024-11-28T14:58:54.350Z,2024-11-28T14:58:54.350Z,0,,694.07,28-Nov-2024,
67470a0195724a0f1a754179,JSL,EQ,N,690.7,674.05,688.05,686.15,686.9,688.7,231014,158265681.6,848.0,492.6,16201,INE220G01021,2024-11-27,2024-11-26T18:30:00.000Z,2024-11-27T12:01:05.880Z,2024-11-27T12:01:05.880Z,0,,685.09,27-Nov-2024,
6745b85f92e9a1a6f6c22b9f,JSL,EQ,N,691.6,664.85,666.8,688.7,685.5,672.35,292292,199809071.55,848.0,492.6,20508,INE220G01021,2024-11-26,2024-11-25T18:30:00.000Z,2024-11-26T12:00:31.257Z,2024-11-26T12:00:31.257Z,0,,683.59,26-Nov-2024,
6744693bade043122fff19d5,JSL,EQ,N,685.6,663.6,678.8,672.35,667.6,671.55,1421495,958141459.75,848.0,492.6,47916,INE220G01021,2024-11-25,2024-11-24T18:30:00.000Z,2024-11-25T12:10:35.201Z,2024-11-25T12:10:35.201Z,0,,674.04,25-Nov-2024,
6740bca1a04410b2051ad161,JSL,EQ,N,677.0,655.55,655.8,671.55,670.4,655.35,369544,247068221.55,848.0,492.6,30247,INE220G01021,2024-11-22,2024-11-21T18:30:00.000Z,2024-11-22T17:17:21.663Z,2024-11-22T17:17:21.663Z,0,,668.58,22-Nov-2024,
673f4a997856f2a6c774877f,JSL,EQ,N,683.1,653.8,680.0,655.35,656.0,686.0,908796,603197146.75,848.0,492.6,39936,INE220G01021,2024-11-21,2024-11-20T18:30:00.000Z,2024-11-21T14:58:33.560Z,2024-11-21T14:58:33.560Z,0,,663.73,21-Nov-2024,
673c9d527d371e69501c11de,JSL,EQ,N,694.5,676.2,684.7,686.0,686.0,688.95,533314,365437287.0,848.0,492.6,23544,INE220G01021,2024-11-19,2024-11-18T18:30:00.000Z,2024-11-19T14:14:42.589Z,2024-11-19T14:14:42.589Z,0,,685.22,19-Nov-2024,
673b5601d3f4c3bb62576c1d,JSL,EQ,N,708.05,682.1,693.8,688.95,684.3,694.55,684545,473248185.5,848.0,492.6,33149,INE220G01021,2024-11-18,2024-11-17T18:30:00.000Z,2024-11-18T14:58:09.087Z,2024-11-18T14:58:09.087Z,0,,691.33,18-Nov-2024,
6735e681eac4892b7af3169c,JSL,EQ,N,704.1,687.0,692.1,694.55,690.2,692.1,477721,333256974.1,848.0,461.3,25947,INE220G01021,2024-11-14,2024-11-13T18:30:00.000Z,2024-11-14T12:01:05.313Z,2024-11-14T12:01:05.313Z,0,,697.6,14-Nov-2024,
67349502036449975278fcea,JSL,EQ,N,706.25,686.7,692.0,692.1,689.9,698.1,509872,355465980.15,848.0,461.3,28925,INE220G01021,2024-11-13,2024-11-12T18:30:00.000Z,2024-11-13T12:01:06.660Z,2024-11-13T12:01:06.660Z,0,,697.17,13-Nov-2024,
67334783cabf8e1b7d93daa0,JSL,EQ,N,718.9,690.1,706.0,698.1,695.7,705.05,606328,426647402.5,848.0,461.3,36820,INE220G01021,2024-11-12,2024-11-11T18:30:00.000Z,2024-11-12T12:18:11.031Z,2024-11-12T12:18:11.031Z,0,,703.66,12-Nov-2024,
