_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
5f2ab08c6880400008eeebf9,NMDC,EQ,N,140.3,137.15,139.0,137.8,138.0,138.55,2542810,351991763.25,152.4,102.8,14542,INE584A01023,2017-12-29,2017-12-28T18:30:00.000Z,2020-08-05T13:13:48.844Z,2020-08-05T13:13:48.844Z,0,,138.43,29-Dec-2017,
5f2ab082083f1b00087a20fd,NMDC,EQ,N,139.5,136.5,136.95,138.55,138.75,137.3,3066177,424127044.75,152.4,102.8,11266,INE584A01023,2017-12-28,2017-12-27T18:30:00.000Z,2020-08-05T13:13:38.355Z,2020-08-05T13:13:38.355Z,0,,138.32,28-Dec-2017,
5f2ab078083f1b00087a1848,NMDC,EQ,N,140.95,136.35,139.55,137.3,137.1,140.4,3838780,532683960.05,152.4,102.8,16643,INE584A01023,2017-12-27,2017-12-26T18:30:00.000Z,2020-08-05T13:13:28.472Z,2020-08-05T13:13:28.472Z,0,,138.76,27-Dec-2017,
5f2ab06efe882b0009f7d3a6,NMDC,EQ,N,140.7,134.3,134.9,140.4,140.45,135.2,5987389,831922402.5,152.4,102.8,29551,INE584A01023,2017-12-26,2017-12-25T18:30:00.000Z,2020-08-05T13:13:18.178Z,2020-08-05T13:13:18.178Z,0,,138.95,26-Dec-2017,
5f2ab064fe882b0009f7caf4,NMDC,EQ,N,135.8,134.55,134.7,135.2,135.0,134.5,1165628,157581279.5,152.4,102.8,5735,INE584A01023,2017-12-22,2017-12-21T18:30:00.000Z,2020-08-05T13:13:08.184Z,2020-08-05T13:13:08.184Z,0,,135.19,22-Dec-2017,
5f2ab059083f1b00087a0f84,NMDC,EQ,N,136.0,134.0,135.5,134.5,134.6,135.25,1451014,195647862.6,152.4,102.8,7273,INE584A01023,2017-12-21,2017-12-20T18:30:00.000Z,2020-08-05T13:12:57.815Z,2020-08-05T13:12:57.815Z,0,,134.84,21-Dec-2017,
5f2ab04f434c8f0008261cb2,NMDC,EQ,N,136.4,133.9,135.95,135.25,135.9,135.7,2649838,358491374.3,152.4,102.8,15288,INE584A01023,2017-12-20,2017-12-19T18:30:00.000Z,2020-08-05T13:12:47.334Z,2020-08-05T13:12:47.334Z,0,,135.29,20-Dec-2017,
5f2ab045434c8f0008261425,NMDC,EQ,N,136.65,134.45,134.75,135.7,135.75,133.15,4837752,655786331.35,152.4,102.8,22892,INE584A01023,2017-12-19,2017-12-18T18:30:00.000Z,2020-08-05T13:12:37.442Z,2020-08-05T13:12:37.442Z,0,,135.56,19-Dec-2017,
5f2ab03b6880400008eee34f,NMDC,EQ,N,134.0,124.1,130.0,133.15,133.9,130.6,3711153,488162943.25,152.4,102.8,15887,INE584A01023,2017-12-18,2017-12-17T18:30:00.000Z,2020-08-05T13:12:27.066Z,2020-08-05T13:12:27.066Z,0,,131.54,18-Dec-2017,
5f2ab0316880400008eedb11,NMDC,EQ,N,131.25,128.95,128.95,130.6,130.75,128.1,1782416,232082344.65,152.4,102.8,12484,INE584A01023,2017-12-15,2017-12-14T18:30:00.000Z,2020-08-05T13:12:17.055Z,2020-08-05T13:12:17.055Z,0,,130.21,15-Dec-2017,
5f2ab026083f1b00087a06ec,NMDC,EQ,N,129.55,126.0,128.9,128.1,127.4,128.6,1540273,196549218.8,152.4,102.8,7983,INE584A01023,2017-12-14,2017-12-13T18:30:00.000Z,2020-08-05T13:12:06.919Z,2020-08-05T13:12:06.919Z,0,,127.61,14-Dec-2017,
5f2ab01cfe882b0009f7c246,NMDC,EQ,N,131.0,127.6,130.4,128.6,128.5,130.0,1334556,173014054.6,152.4,102.8,7346,INE584A01023,2017-12-13,2017-12-12T18:30:00.000Z,2020-08-05T13:11:56.514Z,2020-08-05T13:11:56.514Z,0,,129.64,13-Dec-2017,
5f2ab012fe882b0009f7b9a8,NMDC,EQ,N,132.15,129.6,130.7,130.0,130.45,130.95,1806557,236067991.2,152.4,102.8,13602,INE584A01023,2017-12-12,2017-12-11T18:30:00.000Z,2020-08-05T13:11:46.687Z,2020-08-05T13:11:46.687Z,0,,130.67,12-Dec-2017,
5f2ab008083f1b000879fe7f,NMDC,EQ,N,132.95,130.6,132.0,130.95,131.0,131.55,1734143,228311015.3,152.4,102.8,14936,INE584A01023,2017-12-11,2017-12-10T18:30:00.000Z,2020-08-05T13:11:36.415Z,2020-08-05T13:11:36.415Z,0,,131.66,11-Dec-2017,
5f2aaffd434c8f0008260bb5,NMDC,EQ,N,132.2,129.5,129.5,131.55,131.75,129.8,2168927,285220881.6,152.4,102.8,14972,INE584A01023,2017-12-08,2017-12-07T18:30:00.000Z,2020-08-05T13:11:25.936Z,2020-08-05T13:11:25.936Z,0,,131.5,08-Dec-2017,
5f2aaff4434c8f0008260348,NMDC,EQ,N,130.25,128.05,128.05,129.8,130.0,128.25,2075250,268077469.7,152.4,102.8,9692,INE584A01023,2017-12-07,2017-12-06T18:30:00.000Z,2020-08-05T13:11:16.024Z,2020-08-05T13:11:16.024Z,0,,129.18,07-Dec-2017,
5f2aafea6880400008eed248,NMDC,EQ,N,132.15,128.05,131.5,128.25,128.2,132.0,2853186,370349156.5,152.4,102.8,16623,INE584A01023,2017-12-06,2017-12-05T18:30:00.000Z,2020-08-05T13:11:06.143Z,2020-08-05T13:11:06.143Z,0,,129.8,06-Dec-2017,
5f2aafdffe882b0009f7b0c6,NMDC,EQ,N,134.65,131.05,133.95,132.0,132.0,132.95,3681394,488337680.85,152.4,102.8,19915,INE584A01023,2017-12-05,2017-12-04T18:30:00.000Z,2020-08-05T13:10:55.824Z,2020-08-05T13:10:55.824Z,0,,132.65,05-Dec-2017,
5f2aafd5083f1b000879f5e9,NMDC,EQ,N,134.0,130.2,130.5,132.95,133.0,129.25,7876800,1046099740.1,152.4,102.8,39028,INE584A01023,2017-12-04,2017-12-03T18:30:00.000Z,2020-08-05T13:10:45.611Z,2020-08-05T13:10:45.611Z,0,,132.81,04-Dec-2017,
5f2aafac6880400008eec981,NMDC,EQ,N,132.5,127.65,127.8,129.25,129.45,127.6,6297337,822653959.3,152.4,102.8,28136,INE584A01023,2017-12-01,2017-11-30T18:30:00.000Z,2020-08-05T13:10:04.945Z,2020-08-05T13:10:04.945Z,0,,130.64,01-Dec-2017,
5f2aafa2083f1b000879ed0e,NMDC,EQ,N,129.8,126.85,127.25,127.6,127.2,127.5,4678562,601421629.95,152.4,102.8,22255,INE584A01023,2017-11-30,2017-11-29T18:30:00.000Z,2020-08-05T13:09:54.724Z,2020-08-05T13:09:54.724Z,0,,128.55,30-Nov-2017,
5f2aaf98083f1b000879e43c,NMDC,EQ,N,128.25,125.0,126.5,127.5,127.7,126.6,1841404,233496231.25,152.4,102.8,8369,INE584A01023,2017-11-29,2017-11-28T18:30:00.000Z,2020-08-05T13:09:44.819Z,2020-08-05T13:09:44.819Z,0,,126.8,29-Nov-2017,
5f2aaf8efe882b0009f7a7e7,NMDC,EQ,N,127.3,125.65,126.0,126.6,126.8,126.15,1184456,149941690.75,152.4,102.8,7910,INE584A01023,2017-11-28,2017-11-27T18:30:00.000Z,2020-08-05T13:09:34.535Z,2020-08-05T13:09:34.535Z,0,,126.59,28-Nov-2017,
5f2aaf84fe882b0009f79f4e,NMDC,EQ,N,127.1,125.5,126.45,126.15,126.2,126.9,1429886,180542243.35,152.4,102.8,9829,INE584A01023,2017-11-27,2017-11-26T18:30:00.000Z,2020-08-05T13:09:24.354Z,2020-08-05T13:09:24.354Z,0,,126.26,27-Nov-2017,
5f2aaf7a434c8f000825fab6,NMDC,EQ,N,128.1,126.1,127.0,126.9,126.8,126.75,1332639,169375685.9,152.4,102.8,7633,INE584A01023,2017-11-24,2017-11-23T18:30:00.000Z,2020-08-05T13:09:14.250Z,2020-08-05T13:09:14.250Z,0,,127.1,24-Nov-2017,
5f2aaf70fe882b0009f796bf,NMDC,EQ,N,128.75,124.55,125.5,126.75,127.0,125.8,3274684,416830817.25,152.4,102.8,15610,INE584A01023,2017-11-23,2017-11-22T18:30:00.000Z,2020-08-05T13:09:04.079Z,2020-08-05T13:09:04.079Z,0,,127.29,23-Nov-2017,
5f2aaf666880400008eec1d4,NMDC,EQ,N,127.35,125.15,126.6,125.8,125.7,126.4,1390286,175417316.8,152.4,102.8,9408,INE584A01023,2017-11-22,2017-11-21T18:30:00.000Z,2020-08-05T13:08:54.040Z,2020-08-05T13:08:54.040Z,0,,126.17,22-Nov-2017,
5f2aaf5b434c8f000825f246,NMDC,EQ,N,128.0,125.35,126.75,126.4,126.25,126.0,1768632,223952244.05,152.4,102.8,13030,INE584A01023,2017-11-21,2017-11-20T18:30:00.000Z,2020-08-05T13:08:43.743Z,2020-08-05T13:08:43.743Z,0,,126.62,21-Nov-2017,
5f2aaf51083f1b000879dbb8,NMDC,EQ,N,126.5,123.5,124.6,126.0,126.1,124.55,1649262,206427870.4,152.4,102.8,12454,INE584A01023,2017-11-20,2017-11-19T18:30:00.000Z,2020-08-05T13:08:33.539Z,2020-08-05T13:08:33.539Z,0,,125.16,20-Nov-2017,
5f2aaf47434c8f000825e9c6,NMDC,EQ,N,126.0,123.6,124.0,124.55,124.25,123.75,2322464,290482841.95,152.4,102.8,15963,INE584A01023,2017-11-17,2017-11-16T18:30:00.000Z,2020-08-05T13:08:23.491Z,2020-08-05T13:08:23.491Z,0,,125.08,17-Nov-2017,
5f2aaf3d6880400008eeb966,NMDC,EQ,N,124.5,122.0,122.0,123.75,124.0,122.4,2153363,265933930.35,152.4,102.8,12555,INE584A01023,2017-11-16,2017-11-15T18:30:00.000Z,2020-08-05T13:08:13.025Z,2020-08-05T13:08:13.025Z,0,,123.5,16-Nov-2017,
5f2aaf326880400008eeb101,NMDC,EQ,N,125.3,121.8,125.3,122.4,122.5,125.5,3471333,427396508.2,152.4,102.8,11290,INE584A01023,2017-11-15,2017-11-14T18:30:00.000Z,2020-08-05T13:08:02.993Z,2020-08-05T13:08:02.993Z,0,,123.12,15-Nov-2017,
5f2aaf28fe882b0009f78e5e,NMDC,EQ,N,128.3,124.8,127.5,125.5,125.35,126.1,3163982,399779489.15,152.4,102.8,21791,INE584A01023,2017-11-14,2017-11-13T18:30:00.000Z,2020-08-05T13:07:53.010Z,2020-08-05T13:07:53.010Z,0,,126.35,14-Nov-2017,
5f2aaf1e083f1b000879d334,NMDC,EQ,N,127.5,125.85,126.75,126.1,126.0,126.1,2406514,304339541.8,152.4,102.8,10089,INE584A01023,2017-11-13,2017-11-12T18:30:00.000Z,2020-08-05T13:07:42.796Z,2020-08-05T13:07:42.796Z,0,,126.46,13-Nov-2017,
5f2aaf14434c8f000825e17b,NMDC,EQ,N,128.1,124.5,124.75,126.1,126.05,126.0,2020639,254589307.95,152.4,102.8,12798,INE584A01023,2017-11-10,2017-11-09T18:30:00.000Z,2020-08-05T13:07:32.496Z,2020-08-05T13:07:32.496Z,0,,125.99,10-Nov-2017,
5f2aaf0a6880400008eea885,NMDC,EQ,N,128.6,124.4,127.65,126.0,126.3,127.5,1952268,246297308.7,152.4,102.8,10923,INE584A01023,2017-11-09,2017-11-08T18:30:00.000Z,2020-08-05T13:07:22.398Z,2020-08-05T13:07:22.398Z,0,,126.16,09-Nov-2017,
5f2aaf00083f1b000879ca97,NMDC,EQ,N,131.3,126.4,130.7,127.5,128.0,130.15,2522930,325703812.15,152.4,102.8,12266,INE584A01023,2017-11-08,2017-11-07T18:30:00.000Z,2020-08-05T13:07:12.033Z,2020-08-05T13:07:12.033Z,0,,129.1,08-Nov-2017,
5f2aaef5fe882b0009f785c9,NMDC,EQ,N,134.4,128.6,132.0,130.15,129.7,130.65,7676408,1010943431.45,152.4,102.8,33354,INE584A01023,2017-11-07,2017-11-06T18:30:00.000Z,2020-08-05T13:07:01.991Z,2020-08-05T13:07:01.991Z,0,,131.69,07-Nov-2017,
5f2aaeeb6880400008ee9fec,NMDC,EQ,N,131.5,127.35,128.0,130.65,130.9,127.9,4337724,563783686.9,152.4,102.8,18587,INE584A01023,2017-11-06,2017-11-05T18:30:00.000Z,2020-08-05T13:06:51.932Z,2020-08-05T13:06:51.932Z,0,,129.97,06-Nov-2017,
5f2aaee1434c8f000825d904,NMDC,EQ,N,130.1,127.55,129.0,127.9,127.75,128.85,1952214,250914388.5,152.4,102.8,20431,INE584A01023,2017-11-03,2017-11-02T18:30:00.000Z,2020-08-05T13:06:41.598Z,2020-08-05T13:06:41.598Z,0,,128.53,03-Nov-2017,
5f2aaed7083f1b000879c1ed,NMDC,EQ,N,131.6,128.2,128.7,128.85,128.85,128.5,3526033,458244082.7,152.4,102.8,15123,INE584A01023,2017-11-02,2017-11-01T18:30:00.000Z,2020-08-05T13:06:31.275Z,2020-08-05T13:06:31.275Z,0,,129.96,02-Nov-2017,
5f2aaec3fe882b0009f77d19,NMDC,EQ,N,129.8,128.05,128.25,128.5,128.45,128.15,2798950,360805867.15,152.4,102.8,15948,INE584A01023,2017-11-01,2017-10-31T18:30:00.000Z,2020-08-05T13:06:11.029Z,2020-08-05T13:06:11.029Z,0,,128.91,01-Nov-2017,
5f2aaeb9083f1b000879b968,NMDC,EQ,N,130.55,127.3,129.95,128.15,128.05,130.0,2284259,293446251.55,152.4,102.8,10442,INE584A01023,2017-10-31,2017-10-30T18:30:00.000Z,2020-08-05T13:06:01.018Z,2020-08-05T13:06:01.018Z,0,,128.46,31-Oct-2017,
