_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
63aed2feece58500067d1789,SAIL,EQ,N,84.45,82.1,82.55,82.65,82.8,81.05,29757458,2480029869.55,113.65,63.6,65280,INE114A01011,2022-12-30,2022-12-29T18:30:00.000Z,2022-12-30T12:01:02.075Z,2022-12-30T12:01:02.075Z,0,,83.34,30-Dec-2022,
63ad817e165f2b0007bbc716,SAIL,EQ,N,81.3,79.75,80.2,81.05,80.95,80.7,13574850,1095427078.15,113.65,63.6,31856,INE114A01011,2022-12-29,2022-12-28T18:30:00.000Z,2022-12-29T12:01:02.396Z,2022-12-29T12:01:02.396Z,0,,80.7,29-Dec-2022,
63ac2ffdb817f50007b7df0c,SAIL,EQ,N,81.45,79.95,80.75,80.7,80.8,80.8,13888353,1122947001.05,113.65,63.6,33534,INE114A01011,2022-12-28,2022-12-27T18:30:00.000Z,2022-12-28T12:01:01.938Z,2022-12-28T12:01:01.938Z,0,,80.86,28-Dec-2022,
63aade5f877f9100079434f7,SAIL,EQ,N,81.15,77.2,77.4,80.8,80.8,76.65,29894904,2387276502.35,113.65,63.6,71066,INE114A01011,2022-12-27,2022-12-26T18:30:00.000Z,2022-12-27T12:00:31.988Z,2022-12-27T12:00:31.988Z,0,,79.86,27-Dec-2022,
63a98cfedec2580006f626bf,SAIL,EQ,N,77.15,73.75,75.0,76.65,76.65,74.7,14027435,1066838281.5,113.65,63.6,41350,INE114A01011,2022-12-26,2022-12-25T18:30:00.000Z,2022-12-26T12:01:02.463Z,2022-12-26T12:01:02.463Z,0,,76.05,26-Dec-2022,
63a5987dba71aa0006a9ed04,SAIL,EQ,N,78.3,74.35,78.25,74.7,74.7,78.7,15647334,1192867510.25,114.65,63.6,56913,INE114A01011,2022-12-23,2022-12-22T18:30:00.000Z,2022-12-23T12:01:01.928Z,2022-12-23T12:01:01.928Z,0,,76.23,23-Dec-2022,
63a446da4168e20007893a0d,SAIL,EQ,N,82.1,78.2,81.85,78.7,78.8,81.4,18920980,1499606277.1,114.65,63.6,51161,INE114A01011,2022-12-22,2022-12-21T18:30:00.000Z,2022-12-22T12:00:26.851Z,2022-12-22T12:00:26.851Z,0,,79.26,22-Dec-2022,
63a2f55ffbd8f20007c47bf7,SAIL,EQ,N,83.65,80.8,82.3,81.4,81.3,81.85,14289387,1177614501.7,114.65,63.6,35586,INE114A01011,2022-12-21,2022-12-20T18:30:00.000Z,2022-12-21T12:00:31.933Z,2022-12-21T12:00:31.933Z,0,,82.41,21-Dec-2022,
63a1a3e0c0ffa70007a004ac,SAIL,EQ,N,82.75,80.7,82.5,81.85,82.05,82.95,14817945,1207240887.3,114.65,63.6,37144,INE114A01011,2022-12-20,2022-12-19T18:30:00.000Z,2022-12-20T12:00:32.030Z,2022-12-20T12:00:32.030Z,0,,81.47,20-Dec-2022,
63a0527df1563200081b42b4,SAIL,EQ,N,83.2,82.1,83.0,82.95,83.0,82.6,8474568,700739103.05,114.65,63.6,23387,INE114A01011,2022-12-19,2022-12-18T18:30:00.000Z,2022-12-19T12:01:01.848Z,2022-12-19T12:01:01.848Z,0,,82.69,19-Dec-2022,
639c5dfe28c1380006e2f356,SAIL,EQ,N,83.55,82.0,83.4,82.6,82.7,83.55,11710485,968195552.45,123.45,63.6,33258,INE114A01011,2022-12-16,2022-12-15T18:30:00.000Z,2022-12-16T12:01:02.300Z,2022-12-16T12:01:02.300Z,0,,82.68,16-Dec-2022,
639b0c5f74943d0007721bb1,SAIL,EQ,N,85.7,83.35,84.95,83.55,83.6,85.15,10984645,925443134.0,123.45,63.6,32354,INE114A01011,2022-12-15,2022-12-14T18:30:00.000Z,2022-12-15T12:00:31.892Z,2022-12-15T12:00:31.892Z,0,,84.25,15-Dec-2022,
6399bae1e6e7840007d9b44e,SAIL,EQ,N,85.6,84.5,84.6,85.15,85.15,84.15,10055122,855807388.1,123.45,63.6,26075,INE114A01011,2022-12-14,2022-12-13T18:30:00.000Z,2022-12-14T12:00:33.899Z,2022-12-14T12:00:33.899Z,0,,85.11,14-Dec-2022,
63986960f596af0007c3e7a8,SAIL,EQ,N,85.75,84.0,85.45,84.15,84.1,84.95,11388040,961041594.8,123.45,63.6,32883,INE114A01011,2022-12-13,2022-12-12T18:30:00.000Z,2022-12-13T12:00:32.097Z,2022-12-13T12:00:32.097Z,0,,84.39,13-Dec-2022,
639717fe8f01260008e2f3ca,SAIL,EQ,N,85.25,83.05,84.5,84.95,84.95,84.55,10442886,881614347.4,123.45,63.6,31274,INE114A01011,2022-12-12,2022-12-11T18:30:00.000Z,2022-12-12T12:01:02.355Z,2022-12-12T12:01:02.355Z,0,,84.42,12-Dec-2022,
6393237e41313000070c3046,SAIL,EQ,N,87.0,83.7,86.3,84.55,84.4,85.7,12784750,1089810983.85,123.45,63.6,36007,INE114A01011,2022-12-09,2022-12-08T18:30:00.000Z,2022-12-09T12:01:02.424Z,2022-12-09T12:01:02.424Z,0,,85.24,09-Dec-2022,
6391d1fd15fb0f00073a255e,SAIL,EQ,N,86.15,84.1,85.5,85.7,85.6,85.3,14100639,1202059414.3,123.45,63.6,30891,INE114A01011,2022-12-08,2022-12-07T18:30:00.000Z,2022-12-08T12:01:02.001Z,2022-12-08T12:01:02.001Z,0,,85.25,08-Dec-2022,
6390807dbba3e7000746b687,SAIL,EQ,N,86.45,84.45,86.45,85.3,85.2,85.95,12166267,1037852884.9,123.45,63.6,31259,INE114A01011,2022-12-07,2022-12-06T18:30:00.000Z,2022-12-07T12:01:01.717Z,2022-12-07T12:01:01.717Z,0,,85.31,07-Dec-2022,
638f2efd029bc50007eb6c0f,SAIL,EQ,N,88.1,85.45,88.05,85.95,86.05,88.1,16724879,1441246623.45,123.45,63.6,41982,INE114A01011,2022-12-06,2022-12-05T18:30:00.000Z,2022-12-06T12:01:01.984Z,2022-12-06T12:01:01.984Z,0,,86.17,06-Dec-2022,
638ddd60c10ae000071663d5,SAIL,EQ,N,88.65,87.0,87.2,88.1,88.05,86.75,21457721,1889884390.35,123.45,63.6,53643,INE114A01011,2022-12-05,2022-12-04T18:30:00.000Z,2022-12-05T12:00:32.167Z,2022-12-05T12:00:32.167Z,0,,88.07,05-Dec-2022,
6389e8fd029bc500077ffc48,SAIL,EQ,N,87.45,85.5,85.95,86.75,86.65,85.85,20303404,1759758600.2,123.45,63.6,47257,INE114A01011,2022-12-02,2022-12-01T18:30:00.000Z,2022-12-02T12:01:01.904Z,2022-12-02T12:01:01.904Z,0,,86.67,02-Dec-2022,
6388977fde35720007f0553a,SAIL,EQ,N,86.25,84.75,85.7,85.85,85.9,84.85,24779245,2120437516.3,123.45,63.6,47108,INE114A01011,2022-12-01,2022-11-30T18:30:00.000Z,2022-12-01T12:01:03.869Z,2022-12-01T12:01:03.869Z,0,,85.57,01-Dec-2022,
638745fdde35720007b7f519,SAIL,EQ,N,85.0,82.7,82.75,84.85,84.8,82.75,23604166,1991299110.25,123.45,63.6,50006,INE114A01011,2022-11-30,2022-11-29T18:30:00.000Z,2022-11-30T12:01:01.937Z,2022-11-30T12:01:01.937Z,0,,84.36,30-Nov-2022,
6385f460735fc10007ec0f16,SAIL,EQ,N,84.6,82.25,82.55,82.75,82.55,82.1,19526525,1628078520.3,123.45,63.6,46172,INE114A01011,2022-11-29,2022-11-28T18:30:00.000Z,2022-11-29T12:00:32.063Z,2022-11-29T12:00:32.063Z,0,,83.38,29-Nov-2022,
