_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
641ec3954708d50007259860,WELCORP,EQ,N,76.35,74.85,75.3,75.25,75.1,75.15,127454,9649757.0,118.0,55.05,1220,INE191B01025,2016-12-30,2016-12-29T18:30:00.000Z,2023-03-25T09:49:09.247Z,2023-03-25T09:49:09.247Z,0,,75.71,30-Dec-2016,
641ec38b486b700006346ff4,WELCORP,EQ,N,75.9,74.0,74.5,75.15,74.9,73.95,168624,12650602.05,118.0,55.05,1623,INE191B01025,2016-12-29,2016-12-28T18:30:00.000Z,2023-03-25T09:48:59.113Z,2023-03-25T09:48:59.113Z,0,,75.02,29-Dec-2016,
641ec381be69c00007c3c74d,WELCORP,EQ,N,76.45,73.6,75.1,73.95,74.0,75.8,188197,14132724.2,118.0,55.05,1875,INE191B01025,2016-12-28,2016-12-27T18:30:00.000Z,2023-03-25T09:48:49.050Z,2023-03-25T09:48:49.050Z,0,,75.1,28-Dec-2016,
641ec376341dfa0007d15e85,WELCORP,EQ,N,77.3,72.15,73.2,75.8,75.3,73.35,424889,31832143.95,118.0,55.05,3577,INE191B01025,2016-12-27,2016-12-26T18:30:00.000Z,2023-03-25T09:48:38.921Z,2023-03-25T09:48:38.921Z,0,,74.92,27-Dec-2016,
641ec36c31da23000791d9e0,WELCORP,EQ,N,79.1,71.4,79.1,73.35,72.7,79.45,451502,34116003.7,118.0,55.05,2678,INE191B01025,2016-12-26,2016-12-25T18:30:00.000Z,2023-03-25T09:48:28.841Z,2023-03-25T09:48:28.841Z,0,,75.56,26-Dec-2016,
641ec3623dfde30007cd07d7,WELCORP,EQ,N,81.45,79.05,81.4,79.45,79.05,81.35,425271,33972560.6,118.0,55.05,3729,INE191B01025,2016-12-23,2016-12-22T18:30:00.000Z,2023-03-25T09:48:18.781Z,2023-03-25T09:48:18.781Z,0,,79.88,23-Dec-2016,
641ec3580125d80007474658,WELCORP,EQ,N,82.35,80.0,80.8,81.35,81.4,79.75,1473896,119470766.1,118.0,55.05,11369,INE191B01025,2016-12-22,2016-12-21T18:30:00.000Z,2023-03-25T09:48:08.604Z,2023-03-25T09:48:08.604Z,0,,81.06,22-Dec-2016,
641ec34e2c03d7000703009b,WELCORP,EQ,N,83.45,77.0,77.0,79.75,80.05,75.4,2852717,230777887.6,118.0,55.05,17886,INE191B01025,2016-12-21,2016-12-20T18:30:00.000Z,2023-03-25T09:47:58.633Z,2023-03-25T09:47:58.633Z,0,,80.9,21-Dec-2016,
641ec34428313b0007ccf644,WELCORP,EQ,N,77.35,75.1,76.7,75.4,75.5,76.7,127908,9730453.15,118.0,55.05,1275,INE191B01025,2016-12-20,2016-12-19T18:30:00.000Z,2023-03-25T09:47:48.324Z,2023-03-25T09:47:48.324Z,0,,76.07,20-Dec-2016,
641ec33a2405c50007980888,WELCORP,EQ,N,78.8,76.15,78.0,76.7,76.6,78.3,126376,9736037.05,118.0,55.05,1183,INE191B01025,2016-12-19,2016-12-18T18:30:00.000Z,2023-03-25T09:47:38.320Z,2023-03-25T09:47:38.320Z,0,,77.04,19-Dec-2016,
